"Provider ID","Hospital Name","Address","City","State","ZIP Code","County Name","Phone Number","Condition","Measure ID","Measure Name","Score","Sample","Footnote","Measure Start Date","Measure End Date"
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,04330,KENNEBEC,2076238411,Inpatient Psychiatric Facility Measures,HBIPS-2_Overall,Hours of physical-restraint use,0.01,4727,,01-01-2015,12-31-2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,04330,KENNEBEC,2076238411,Inpatient Psychiatric Facility Measures,HBIPS-3_Overall,Hours of seclusion,0.00,4727,,01-01-2015,12-31-2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,04330,KENNEBEC,2076238411,Inpatient Psychiatric Facility Measures,HBIPS-5_Overall,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,14,The number of cases/patients is too few to report for scoring; submitted data based on sample cases/patients following specific rules for selection.,01-01-2015,12-31-2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,04330,KENNEBEC,2076238411,Inpatient Psychiatric Facility Measures,HBIPS-6_Overall,Post-discharge continuing care plan created,49,269,Data submitted were based on a sample of cases/patients following specific rules for selection.,01-01-2015,12-31-2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,04330,KENNEBEC,2076238411,Inpatient Psychiatric Facility Measures,HBIPS-7_Overall,Post-discharge continuing care plan transmitted to the next level of care provider upon discharge,48,269,Data submitted were based on a sample of cases/patients following specific rules for selection.,01-01-2015,12-31-2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,04330,KENNEBEC,2076238411,Inpatient Psychiatric Facility Measures,SUB-1,Alcohol Use Screening,3,347,Data submitted were based on a sample of cases/patients following specific rules for selection.,01-01-2015,12-31-2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,04330,KENNEBEC,2076238411,Inpatient Psychiatric Facility Measures,TOB-1,Tobacco Use Screening,98,349,Data submitted were based on a sample of cases/patients following specific rules for selection.,01-01-2015,12-31-2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,04330,KENNEBEC,2076238411,Inpatient Psychiatric Facility Measures,TOB-2,Tobacco Use Treatment Provided or Offered,38,120,Data submitted were based on a sample of cases/patients following specific rules for selection.,01-01-2015,12-31-2015
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,04330,KENNEBEC,2076238411,Inpatient Psychiatric Facility Measures,TOB-2a,Tobacco Use Treatment (during the hospital stay),22,120,Data submitted were based on a sample of cases/patients following specific rules for selection.,01-01-2015,12-31-2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,05009,WINDSOR,8022959363,Inpatient Psychiatric Facility Measures,HBIPS-2_Overall,Hours of physical-restraint use,0.09,2550,,01-01-2015,12-31-2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,05009,WINDSOR,8022959363,Inpatient Psychiatric Facility Measures,HBIPS-3_Overall,Hours of seclusion,0.00,2550,,01-01-2015,12-31-2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,05009,WINDSOR,8022959363,Inpatient Psychiatric Facility Measures,HBIPS-5_Overall,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,9,The number of cases/patients is too few to report for scoring; submitted data based on sample cases/patients following specific rules for selection.,01-01-2015,12-31-2015
47001F,WHITE RIVER JCT VA MEDICAL CENTER,215 N. MAIN ST.,WHITE RIVER JUNCTION,VT,05009,WINDSOR,8022959363,Inpatient Psychiatric Facility Measures,HBIPS-6_Overall,Post-discharge continuing care plan created,87,254,Data submitted were based on a sample of cases/patients following specific rules for selection.,01-01-2015,12-31-2015
